ID,Under_Grad_School,Under_Grad_Major,US_Ranking,211,985,Country/Region
1,NA,,,,,
2,Uconn,,63,,,U.S.A
3,Uconn,,63,,,U.S.A
4,Uconn,Stats,,,,U.S.A
5,UW,,59,,,U.S.A
6,,,,,,
7,,Math,,,,
8,UofBC,,29,,,Canada
9,,MFE,,,,
10,,,,,,
11,,,,,,
12,UIUC,,46,,,U.S.A
13,,,,,,
14,,,,,,
15,UIUC,Math,46,,,U.S.A
16,UA,,106,,,U.S.A
17,UCSB,,30,,,U.S.A
18,FDU,ME,,TRUE,TRUE,China
19,,,,,,
20,CUHK,,,,,HK
21,,,,,,
22,SJTU,,,TRUE,TRUE,China
23,UCSB,,30,,,U.S.A
24,UCSB,,30,,,U.S.A
25,,,,,,
26,,,,,,
27,,,,,,
28,UCI,Econ,33,,,U.S.A
29,Uwaterloo,,,,,Canada
30,NUPT,,,FALSE,FALSE,China
31,UMN,Stats,76,,,U.S.A
32,USTB,,,TRUE,TRUE,U.S.A
33,,,,,,
34,NanjingU,,,TRUE,TRUE,China
35,HDU,,,FALSE,FALSE,China
36,WuhanU,Math,,TRUE,TRUE,China
37,UF,,35,TRUE,TRUE,U.S.A
38,USTC,,,TRUE,TRUE,China
39,,Math,,,,
40,ZJU,,,TRUE,TRUE,
41,,,,,,
42,UCB,,22,,,U.S.A
43,,,,,,
44,UCD,,38,,,U.S.A
45,UCSC,,70,,,U.S.A
46,UWM,,49,,,U.S.A
47,,,,,,
48,ECNU,,,TRUE,TRUE,China
49,CUHK,,,,,HK
50,UMN,Stats,76,,,U.S.A
51,XJTLU,AM,,FALSE,FALSE,China
52,,,,,,
53,,,,,,
54,,,,,,
55,Baylor University,Marketing,78,,,U.S.A
56,,,,,,
57,,,,,,
58,UCI,Math,33,,,U.S.A
59,HKPU,,,,,HK
60,,,,,,
61,SBU,Math,80,,,U.S.A
62,RUC,,,TRUE,TRUE,China
63,UCSB,,30,,,
64,HKPU,,,,,HK
65,UIBE,,,TRUE,FALSE,China
66,,,,,,
67,,,,,,
68,,Math,,,,
69,,,,,,
70,USTB,,,TRUE,TRUE,China
71,UM_Ann_Arbor,,27,,,U.S.A
72,USTB,IM,,TRUE,TRUE,China
73,,,,,,
74,OSU,Math,56,,,U.S.A
75,SBU,,80,,,U.S.A
76,,,,,,
77,FDU,Math,,TRUE,TRUE,China
78,UWO,,,,,Canada
79,SHUFE,,,TRUE,FALSE,
80,,,,,,
81,,Stats,,,,
82,,,,,,
83,UMN,Math,76,,,U.S.A
84,OU,,,,,U.S.A
85,PKU,Stats,,TRUE,TRUE,China
86,UM_Ann_Arbor,Math,27,,,U.S.A
87,UCD,,38,,,U.S.A
88,Uiowa,,89,,,U.S.A
89,Uconn,Stats,63,,,U.S.A
90,,,,,,
91,MSU,Math,85,,,U.S.A
92,,,,,,
93,,,,,,
94,,,,,,
95,,,,,,
96,,,,,,
97,,Stats,,,,
98,,,,,,
99,,,,,,
100,SYU,Math,,TRUE,TRUE,China
101,Uconn,,63,,,U.S.A
102,,,,,,
103,,,,,,
104,UM_Ann_Arbor,Econ,27,,,U.S.A
105,,,,,,
106,XJTLU,,,FALSE,FALSE,China
107,,,,,,
108,PKU,CSE,,TRUE,TRUE,China
109,,,,,,
110,UMN,Stats,76,,,U.S.A
111,UWM,,49,,,U.S.A
112,,,,,,
113,UM_Ann_Arbor,,27,,,U.S.A
114,,,,,,
115,,,,,,
116,,,,,,
117,,Math,,,,
118,,,,,,
119,,,,,,
120,,,,,,
121,,,,,,
122,UofT,CSE,20,,,Canada
123,,,,,,
124,,,,,,
125,,,,,,
126,UNC,,30,,,U.S.A
127,,,,,,
128,,,,,,
129,,,,,,
130,NYUSH,,,,,China
131,TJU,Stats,,TRUE,TRUE,China
132,UCLA,Stats,11,,,U.S.A
133,,,,,,
134,TJPU,Stats,,TRUE,,China
135,TJU,Stats,,TRUE,TRUE,China
136,UCLA,ME,11,,,U.S.A
137,,,,,,
138,,,,,,
139,,,,,,
140,,,,,,
141,,,,,,
142,,,,,,
143,,,,,,
144,,,,,,
145,,,,,,
146,,,,,,
147,UCI,Math,33,,,U.S.A
148,USTC,Stats,,TRUE,TRUE,China
149,USTC,Stats,,TRUE,TRUE,China
150,WasedaU,Math,,,,Japan
151,,,,,,
152,CSFU,Stats,221,,,U.S.A
153,UNL,Acurary,129,,,U.S.A
154,USTC,Stats,,TRUE,TRUE,China
155,,,,,,
156,,Math,,,,
157,,,,,,
158,,,,,,
159,,,,,,
160,,,,,,
161,,,,,,
162,,,,,,
163,,,,,,
164,,,,,,
165,,,,,,
166,,,,,,
167,,,,,,
168,XJLTU,AM,,FALSE,FALSE,China
169,,,,,,
170,,,,,,
171,,,,,,
172,,,,,,
173,,,,,,
174,RPI,Math,49,,,U.S.A
175,,,,,,
176,,,,,,
177,,,,,,
178,UN,Math,,,,U.S.A
179,,,,,,
180,SWUFE,Finance,,TRUE,FALSE,China
181,,,,,,
182,,,,,,
183,,,,,,
184,UIUC,Math,46,,,U.S.A
185,,,,,,
186,,,,,,
187,UCDenver,Econ,205,,,U.S.A
188,,,,,,
189,UCLA,Stats,11,,,U.S.A
190,XMU,Math,,TRUE,TRUE,China
191,,,,,,
192,,,,,,
193,,,,,,
194,,,,,,
195,,,,,,
196,,,,,,
197,,,,,,
198,,Stats,,,,
199,,,,,,
200,,,,,,
201,UIUC,,46,,,U.S.A
202,UIUC,Stats,46,,,U.S.A
203,UW,,59,,,U.S.A
204,GWU,Math,63,,,U.S.A
205,,,,,,
206,,,,,,
207,,,,,,
208,,,,,,
209,,,,,,
210,,,,,,
211,,,,,,
212,,,,,,
213,,,,,,
214,OSU,Math,56,,,U.S.A
215,,,,,,
216,,,,,,
217,,,,,,
218,,,,,,
219,,,,,,
220,FDU,Math,,TRUE,TRUE,China
221,,,,,,
222,,,,,,
223,,,,,,
224,,,,,,
225,,,,,,
226,,,,,,
227,UWM,Econ,49,,,U.S.A
228,Brandis,Math,35,,,U.S.A
229,,,,,,
230,,,,,,
231,,,,,,
232,UofGlasgow,,,,,United Kingdom
233,,,,,,
234,,,,,,
235,,,,,,
236,UCI,Math,33,,,U.S.A
237,,Math,,,,
238,CUHK,,,,,HK
239,,,,,,
240,,,,,,
241,,,,,,
242,,,,,,
243,,,,,,
244,,,,,,
245,UCSD,,41,,,U.S.A
246,ANU,Acurary,,,,Australia
247,UCDenver,Econ,205,,,U.S.A
248,,,,,,
249,,,,,,
250,,,,,,
251,,,,,,
252,RMU,Stats,,TRUE,TRUE,China
253,GWU,,63,,,U.S.A
254,,,,,,
255,,,,,,
256,PKU,Econ,,TRUE,TRUE,China
257,,,,,,
258,TsinghuaU,Math,,TRUE,TRUE,China
259,,,,,,
260,,,,,,
261,UWM,,49,,,U.S.A
262,,,,,,
263,,,,,,
264,,,,,,
265,,,,,,
266,,,,,,
267,UCLA,,11,,,U.S.A
268,,,,,,
269,,,,,,
270,,,,,,
271,UCSB,,30,,,U.S.A
272,PSU,Math,35,,,U.S.A
273,,,,,,
274,UCSD,Stats,41,,,U.S.A
275,,,,,,
276,,,,,,
277,,,,,,
278,,,,,,
279,Baruch,Math,20,,,U.S.A
280,,,,,,
281,,,,,,
282,,,,,,
283,,,,,,
284,Whitman,Math,43,,,U.S.A
285,,,,,,
286,,,,,,
287,,,,,,
288,,,,,,
289,,,,,,
290,,,,,,
291,,,,,,
292,,,,,,
293,,,,,,
294,,,,,,
295,,,,,,
296,UCI,Math,33,,,
297,,,,,,
298,,,,,,
299,,,,,,
300,,,,,,
301,,,,,,
302,,,,,,
303,UCLA,Stats,11,,,
304,,,,,,
305,UO,Math,102,,,
306,,,,,,
307,,,,,,
308,,,,,,
309,,,,,,
310,,,,,,
311,,,,,,
312,,,,,,
313,,,,,,
314,,,,,,
315,,,,,,
